Sample,File #,DateTime,Application,Method,ElapsedTime,MgO,MgO Err,Al2O3,Al2O3 Err,SiO2,SiO2 Err,P2O5,P2O5 Err,S,S Err,Cl,Cl Err,K2O,K2O Err,CaO,CaO Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Rh,Rh Err,Pd,Pd Err,Ag,Ag Err,Cd,Cd Err,Sn,Sn Err,Sb,Sb Err,Ba,Ba Err,La,La Err,Ce,Ce Err,Hf,Hf Err,Ta,Ta Err,W,W Err,Pt,Pt Err,Au,Au Err,Hg,Hg Err,Tl,Tl Err,Pb,Pb Err,Bi,Bi Err,Th,Th Err,U,U Err,Cal Check
PP-1,2543,11-19-2020 05:19,GeoChem,GeoChem Trace,180,2.8457,0.9636,3.8508,0.1778,15.9281,0.1614,0.2453,0.0259,0.1098,0.0103,0.0522,0.0043,0.3008,0.0075,16.0617,0.0306,0.1395,0.0034,0.0021,0.0015,< LOD,0.0009,0.023,0.002,1.2777,0.0089,< LOD,0.0019,0.0029,0.0009,0.0058,0.0006,0.0033,0.0005,< LOD,0.0002,< LOD,0.0004,0.002,0.0004,0.0348,0.0007,0.0017,0.0006,0.0095,0.0005,< LOD,0.0006,< LOD,0.0006,< LOD,0.0005,< LOD,0.0012,< LOD,0.0012,< LOD,0.0022,< LOD,0.0092,< LOD,0.0055,< LOD,0.0156,< LOD,0.0232,< LOD,0.0084,< LOD,0.0004,< LOD,0.0008,< LOD,0.0009,< LOD,0.0004,< LOD,0.0013,< LOD,0.0002,< LOD,0.0002,< LOD,0.0014,< LOD,0.0015,< LOD,0.0019,< LOD,0.0048,Passed
PP-1,2544,11-19-2020 05:22,GeoChem,GeoChem Trace,180,4.021,0.9928,3.9422,0.1821,15.9302,0.1629,0.3013,0.0269,0.1545,0.0102,0.0286,0.0044,0.3518,0.0077,17.13,0.0316,0.1678,0.0037,0.0048,0.0016,0.0131,0.0011,0.0325,0.0024,1.6584,0.0103,< LOD,0.0021,0.0026,0.0008,0.0057,0.0006,0.0034,0.0004,0.0003,0.0002,< LOD,0.0003,0.002,0.0004,0.0351,0.0006,0.0015,0.0005,0.0093,0.0004,< LOD,0.0005,< LOD,0.0005,,,< LOD,0.0014,0.0019,0.001,< LOD,0.0018,< LOD,0.0103,< LOD,0.0032,< LOD,0.0126,< LOD,0.0273,< LOD,0.0087,< LOD,0.0004,< LOD,0.0004,< LOD,0.0007,< LOD,0.0005,< LOD,0.0011,< LOD,0.0003,< LOD,0.0002,0.0021,0.0012,< LOD,0.0013,< LOD,0.0017,< LOD,0.0042,Passed
PP-1,2545,11-19-2020 05:26,GeoChem,GeoChem Trace,180,3.2701,0.6759,2.0583,0.1378,9.906,0.126,0.1863,0.0211,0.1437,0.0106,0.0432,0.0027,0.0743,0.006,10.214,0.0244,0.1032,0.003,< LOD,0.0014,< LOD,0.0008,0.0187,0.0017,0.9515,0.0072,< LOD,0.0019,0.0037,0.001,0.0055,0.0006,0.0035,0.0005,0.0003,0.0002,< LOD,0.0004,0.002,0.0005,0.0319,0.0008,0.0009,0.0007,0.0087,0.0005,< LOD,0.0008,< LOD,0.0008,< LOD,0.0005,< LOD,0.001,< LOD,0.0013,< LOD,0.0023,< LOD,0.0089,< LOD,0.0057,< LOD,0.0182,< LOD,0.0354,,,< LOD,0.0005,< LOD,0.0009,< LOD,0.001,< LOD,0.0004,< LOD,0.0015,< LOD,0.0001,< LOD,0.0001,< LOD,0.0016,< LOD,0.0017,< LOD,0.0021,< LOD,0.0053,Passed
PP-2,2546,11-19-2020 05:31,GeoChem,GeoChem Trace,181,4.6303,1.5603,5.2333,0.1946,18.106,0.1717,0.286,0.0269,0.0946,0.0094,0.0076,0.0049,0.4146,0.0078,17.4933,0.0317,0.1849,0.0036,0.0018,0.0015,< LOD,0.001,0.0464,0.0029,2.6912,0.0132,< LOD,0.0025,0.0032,0.0007,0.0063,0.0005,0.0034,0.0003,0.0003,0.0002,< LOD,0.0002,0.0021,0.0003,0.0347,0.0005,0.0014,0.0004,0.0092,0.0004,< LOD,0.0004,< LOD,0.0004,0.0135,0.0007,< LOD,0.0016,0.0035,0.0009,< LOD,0.0017,< LOD,0.0123,< LOD,0.0043,< LOD,0.013,< LOD,0.0268,< LOD,0.008,< LOD,0.0003,< LOD,0.0006,< LOD,0.0007,< LOD,0.0005,< LOD,0.0009,< LOD,0.0003,< LOD,0.0003,0.0015,0.001,< LOD,0.001,< LOD,0.0014,< LOD,0.0035,Passed
PP-2,2547,11-19-2020 05:35,GeoChem,GeoChem Trace,180,5.091,1.6507,4.6802,0.1836,16.5483,0.1638,0.235,0.0253,0.0946,0.0093,0.0133,0.0042,0.358,0.0075,15.91,0.0303,0.1511,0.0033,0.0029,0.0014,0.002,0.0009,0.045,0.0028,2.3105,0.0121,< LOD,0.0025,0.0041,0.0008,0.006,0.0005,0.0032,0.0004,0.0003,0.0002,< LOD,0.0003,0.0024,0.0003,0.0382,0.0006,0.0021,0.0005,0.0111,0.0004,0.0008,0.0005,< LOD,0.0006,0.019,0.0008,,,0.0045,0.0011,< LOD,0.0019,< LOD,0.0131,< LOD,0.0048,< LOD,0.0144,< LOD,0.0303,< LOD,0.0078,< LOD,0.0004,< LOD,0.0006,< LOD,0.0007,< LOD,0.0005,< LOD,0.001,< LOD,0.0003,< LOD,0.0003,0.0016,0.001,< LOD,0.0011,< LOD,0.0015,< LOD,0.0038,Passed
PP-2,2548,11-19-2020 05:39,GeoChem,GeoChem Trace,180,4.4315,1.1137,4.2534,0.1753,15.4654,0.1572,0.2097,0.0243,0.1343,0.0101,0.0334,0.0041,0.3071,0.0072,14.0132,0.0285,0.1313,0.0032,0.0041,0.0014,< LOD,0.0009,0.0407,0.0025,2.013,0.011,< LOD,0.0024,0.0038,0.0007,0.0055,0.0005,0.0031,0.0003,0.0004,0.0002,< LOD,0.0002,0.0019,0.0003,0.0292,0.0005,0.0017,0.0004,0.0086,0.0004,< LOD,0.0004,< LOD,0.0004,,,< LOD,0.0014,0.001,0.0009,< LOD,0.0016,< LOD,0.0116,< LOD,0.0042,< LOD,0.0119,< LOD,0.018,< LOD,0.008,< LOD,0.0003,< LOD,0.0006,< LOD,0.0006,< LOD,0.0005,< LOD,0.0009,< LOD,0.0003,< LOD,0.0002,< LOD,0.001,< LOD,0.001,< LOD,0.0014,< LOD,0.0035,Passed
PP-3,2549,11-19-2020 05:45,GeoChem,GeoChem Trace,180,3.4594,0.6523,2.0844,0.1366,9.5566,0.1241,0.1694,0.0208,0.1157,0.0102,0.0339,0.0026,0.1531,0.0064,10.3234,0.0245,0.1126,0.003,0.004,0.0014,< LOD,0.0008,0.0238,0.0018,1.2077,0.0081,< LOD,0.0021,0.0041,0.0011,0.0054,0.0006,0.0046,0.0006,0.0004,0.0002,< LOD,0.0004,0.0018,0.0005,0.0405,0.0008,0.0017,0.0007,0.0102,0.0005,< LOD,0.0008,< LOD,0.0008,< LOD,0.0005,< LOD,0.001,< LOD,0.0014,< LOD,0.0023,< LOD,0.0093,< LOD,0.0058,< LOD,0.0162,< LOD,0.0264,< LOD,0.0079,< LOD,0.0005,< LOD,0.0005,< LOD,0.001,< LOD,0.0004,< LOD,0.0015,< LOD,0.0001,< LOD,0.0001,< LOD,0.0016,< LOD,0.0016,< LOD,0.0021,< LOD,0.0053,Passed
PP-3,2550,11-19-2020 05:49,GeoChem,GeoChem Trace,180,3.4798,0.6476,2.0782,0.1325,9.2267,0.1208,0.1461,0.0197,0.1065,0.01,0.0412,0.0025,0.125,0.0061,9.1946,0.0231,0.0865,0.0027,0.0029,0.0013,< LOD,0.0007,0.0176,0.0016,0.9154,0.0069,< LOD,0.0019,0.0045,0.001,0.0059,0.0006,0.0041,0.0005,0.0004,0.0002,< LOD,0.0004,0.0021,0.0005,0.035,0.0008,0.0011,0.0007,0.0086,0.0005,< LOD,0.0008,< LOD,0.0008,< LOD,0.0005,< LOD,0.001,< LOD,0.0014,< LOD,0.0024,< LOD,0.0091,< LOD,0.006,< LOD,0.0167,< LOD,0.027,,,< LOD,0.0005,< LOD,0.0005,< LOD,0.001,< LOD,0.0003,< LOD,0.0015,< LOD,0.0001,< LOD,0.0001,< LOD,0.0017,< LOD,0.0016,< LOD,0.0021,< LOD,0.0054,Passed
PP-3,2551,11-19-2020 05:52,GeoChem,GeoChem Trace,180,2.9309,1.1507,5.4131,0.2217,22.2808,0.1966,0.292,0.0313,0.0897,0.0097,0.0401,0.0067,0.7886,0.0097,22.6333,0.0366,0.2301,0.0043,0.0026,0.0018,< LOD,0.0012,0.0538,0.0031,2.908,0.0144,< LOD,0.0023,0.0042,0.0008,0.0085,0.0007,0.0047,0.0004,< LOD,0.0002,< LOD,0.0003,0.0025,0.0003,0.0445,0.0006,0.002,0.0005,0.0102,0.0004,< LOD,0.0005,< LOD,0.0005,< LOD,0.0006,< LOD,0.0015,< LOD,0.0009,< LOD,0.0017,< LOD,0.0093,< LOD,0.0044,< LOD,0.0133,< LOD,0.0267,< LOD,0.009,< LOD,0.0004,< LOD,0.0004,< LOD,0.0007,< LOD,0.0005,< LOD,0.001,< LOD,0.0004,< LOD,0.0004,0.002,0.0011,< LOD,0.0012,< LOD,0.0015,< LOD,0.0038,Passed
PP-4,2552,11-19-2020 05:57,GeoChem,GeoChem Trace,180,4.7816,1.3627,6.8045,0.225,26.6603,0.2108,0.3032,0.0302,0.0911,0.0088,0.0334,0.0074,0.7553,0.0093,21.3555,0.0353,0.2133,0.004,0.004,0.0016,0.0023,0.0011,0.0507,0.003,2.8625,0.0141,< LOD,0.0021,0.0038,0.0007,0.0075,0.0006,0.0042,0.0004,0.0004,0.0002,< LOD,0.0003,0.0022,0.0003,0.0393,0.0006,0.0019,0.0005,0.0098,0.0004,< LOD,0.0005,< LOD,0.0005,,,< LOD,0.0016,0.0012,0.0009,< LOD,0.0017,< LOD,0.0094,< LOD,0.0043,< LOD,0.0163,< LOD,0.0183,,,< LOD,0.0004,< LOD,0.0006,< LOD,0.0006,< LOD,0.0005,< LOD,0.001,< LOD,0.0004,< LOD,0.0004,< LOD,0.001,< LOD,0.0011,< LOD,0.0014,< LOD,0.0036,Passed
