"Sample" "MgO" "Al2O3" "SiO2" "P2O5" "S" "Cl" "K2O" "CaO" "Ti" "V" "Mn" "Fe" "Ni" "Cu" "Zn" "As" "Rb" "Sr" "Y" "Zr" "Nb" "Rh" "Ag" "Pb"
"1" "PP-1" 0.541006475225225 0.630421440261866 0.176706563066371 0.341372912801484 0.128102508912356 0.0467280298293496 0.29609586393506 0.0068030988655701 0.479752011607967 NA 0.293256571607087 0.622937544285859 0.581196581196581 0.0149725948041531 0.475 NA 0.346153846153846 0.619156244264401 0.289855072463768 0.0407640474466782 NA NA NA NA
"2" "PP-10" 0.346283783783784 0.581833060556465 0.106806485561179 0.489744382601525 0.340226396269142 0.0736277552969174 0.547395095133789 0.0368489642219627 0.711647539902387 0.739393939393939 0.641295130985853 0.545669264770388 0.683760683760684 0.354455386717764 0.558333333333333 NA 0.141025641025641 0.718791787933611 0.304347826086957 0.0297377067438882 NA NA NA NA
"3" "PP-11" 0.669341216216216 0.573820240043644 0.0462848347387613 0.437950937950938 0.420942075289792 0.142434030889382 0.752093802345059 0.322233059147666 0.846326342171217 0.690909090909091 0.634042933012005 0.38549785740797 0.41025641025641 0.0133683882179938 0.258333333333333 NA 0.192307692307692 0.52279818558431 0.188405797101449 0.0237233390878209 NA NA NA NA
"4" "PP-12" 0.391152871621622 0.520253682487725 0.0904527998099953 0.241754277468563 0.28935870271967 0.0303776104236977 0.0546750848258386 0.0793025180388808 0.437936947632239 NA 0.243120453429732 0.456422714849681 0.666666666666667 0.0144378592754334 0.433333333333333 NA 0.282051282051282 0.508377251632188 NA 0.0377568636186445 NA NA NA NA
"5" "PP-13" 0.18774634009009 0.655073649754501 0.115516883701332 0.850907029478458 0.256182596802762 0.0839126715982315 0.763690246102307 0.340800059944861 0.701358659807413 0.575757575757576 0.640737269603249 0.462293754428586 0.649572649572649 0.454317246706178 0.875 NA 0.371794871794872 0.903641941319909 0.333333333333333 0.265300439939856 NA NA NA NA
"6" "PP-14" 0.413745777027027 0.628648390616476 0.0916066672927048 0.317666460523603 0.430751272392996 0.107761864915695 0.601769531417773 0.324443858444998 0.803983643318823 0.715151515151515 0.54924800285625 0.362587306407531 0.367521367521367 0.0232609954993093 0.225 NA 0.217948717948718 0.450667295943785 0.289855072463768 0.0370886005457482 NA NA NA NA
"7" "PP-15" 0.545897522522523 0.366509819967267 0.0662823125406066 0.332148010719439 0.0430777897356562 0.275247366770753 0.33170124124898 0.105364898825311 0.658884052235853 0.393939393939394 0.442696478778953 0.248371967473091 0.564102564102564 0.028340983022147 0.425 0.533333333333333 0.32051282051282 0.645376124177351 0.391304347826087 0.0424347051289191 NA NA NA NA
"8" "PP-16" 0.447248029279279 0.670451445717403 0.150939747850978 0.547103689960833 0.323655859734087 0.0710024113583078 0.582227376197225 0.161126755005529 0.698720485424086 0.496969696969697 0.65468380416834 0.595876775652057 0.811965811965812 0.0475914620560581 0.608333333333333 NA 0.230769230769231 0.693227405018485 0.449275362318841 0.242987878450372 NA NA NA NA
"9" "PP-17" 0.241976351351351 0.731016093835243 0.0639832532705463 0.38961038961039 0.16674373892962 0.413510842454007 0.475239445088691 0.0369043866159796 0.429362880886427 NA 0.467800240996117 0.191753551304113 0.598290598290598 0.0197852145626309 0.466666666666667 NA 0.307692307692308 0.518865203597368 0.27536231884058 0.0357520743999555 NA NA NA NA
"10" "PP-18" 0.524415259009009 0.641639388979815 0.148796851097375 0.408266336837765 0.210920158740835 0.188663585520965 0.35519477730533 0.562348308907576 0.578419733544387 0.157575757575758 0.337818538849467 0.283395755305868 0.153846153846154 0.00748629740207655 0.108333333333333 NA 0.0384615384615384 0.107475287763182 0.072463768115942 0.00300718382803364 NA NA NA NA
