"Sample" "MgO" "Al2O3" "SiO2" "Cl" "CaO" "Ti" "Mn" "Fe" "Ni" "Cu" "Zn" "Sr" "Zr"
"1" "PP-1" 0.541006475225225 0.630421440261866 0.176706563066371 0.0467280298293496 0.0068030988655701 0.479752011607967 0.293256571607087 0.622937544285859 0.581196581196581 0.0149725948041531 0.475 0.619156244264401 0.0407640474466782
"2" "PP-10" 0.346283783783784 0.581833060556465 0.106806485561179 0.0736277552969174 0.0368489642219627 0.711647539902387 0.641295130985853 0.545669264770388 0.683760683760684 0.354455386717764 0.558333333333333 0.718791787933611 0.0297377067438882
"3" "PP-11" 0.669341216216216 0.573820240043644 0.0462848347387613 0.142434030889382 0.322233059147666 0.846326342171217 0.634042933012005 0.38549785740797 0.41025641025641 0.0133683882179938 0.258333333333333 0.52279818558431 0.0237233390878209
"4" "PP-12" 0.391152871621622 0.520253682487725 0.0904527998099953 0.0303776104236977 0.0793025180388808 0.437936947632239 0.243120453429732 0.456422714849681 0.666666666666667 0.0144378592754334 0.433333333333333 0.508377251632188 0.0377568636186445
"5" "PP-13" 0.18774634009009 0.655073649754501 0.115516883701332 0.0839126715982315 0.340800059944861 0.701358659807413 0.640737269603249 0.462293754428586 0.649572649572649 0.454317246706178 0.875 0.903641941319909 0.265300439939856
"6" "PP-14" 0.413745777027027 0.628648390616476 0.0916066672927048 0.107761864915695 0.324443858444998 0.803983643318823 0.54924800285625 0.362587306407531 0.367521367521367 0.0232609954993093 0.225 0.450667295943785 0.0370886005457482
"7" "PP-15" 0.545897522522523 0.366509819967267 0.0662823125406066 0.275247366770753 0.105364898825311 0.658884052235853 0.442696478778953 0.248371967473091 0.564102564102564 0.028340983022147 0.425 0.645376124177351 0.0424347051289191
"8" "PP-16" 0.447248029279279 0.670451445717403 0.150939747850978 0.0710024113583078 0.161126755005529 0.698720485424086 0.65468380416834 0.595876775652057 0.811965811965812 0.0475914620560581 0.608333333333333 0.693227405018485 0.242987878450372
"9" "PP-17" 0.241976351351351 0.731016093835243 0.0639832532705463 0.413510842454007 0.0369043866159796 0.429362880886427 0.467800240996117 0.191753551304113 0.598290598290598 0.0197852145626309 0.466666666666667 0.518865203597368 0.0357520743999555
"10" "PP-18" 0.524415259009009 0.641639388979815 0.148796851097375 0.188663585520965 0.562348308907576 0.578419733544387 0.337818538849467 0.283395755305868 0.153846153846154 0.00748629740207655 0.108333333333333 0.107475287763182 0.00300718382803364
"11" "PP-19" 0.482896959459459 0.19899072558647 0.13035232276474 0.0581308045921564 0.40726680695183 0.321725366046696 0.126232873655554 0.620069507709957 0.222222222222222 0.00561472305155742 0.0416666666666667 0.246152232622775 0.0100239460934455
"12" "PP-2" 0.582560529279279 0.407289961811238 0.101696500994894 0.0172719182203817 0.0379227731060394 0.554676164094447 0.511201856562681 0.425877113068124 0.743589743589744 0.0171115369190321 0.433333333333333 0.621122735257873 0.265913014423345
"13" "PP-3" 0.609023085585586 0.197524549918167 0.100464552253956 0.0433265241373936 0.0798844531760579 0.504418942092072 0.52023921096086 0.397644835847083 0.888888888888889 0.0224588922062297 0.741666666666667 0.542069797320328 0.450966197026229
"14" "PP-4" 0.477829391891892 0.309260774686307 0.393059596405264 0.0466120694080329 0.0604311928761385 0.654794881941696 0.704333467220065 0.641427944798731 0.623931623931624 0.0144378592754334 0.566666666666667 0.658486064133826 0.0364203374728518
"15" "PP-5" 0.231911599099099 0.569387615930169 0.321408763576682 0.0118332198467343 0.143266888533594 0.553357076902783 0.531641897621279 0.434524412052502 0.623931623931624 0.0122989171605543 0.55 0.508613230551404 0.480165580739173
"16" "PP-6" 0.336711711711712 0.597142662302237 0.175196992073954 0.0219124996675801 0.0754437338554566 0.74251418018731 0.862208238496898 0.55609542126396 0.683760683760684 0.0157746980972327 0.391666666666667 0.4231626419151 0.464851218651965
"17" "PP-7" 0.349380630630631 0.319421713038734 0.102234394107135 0.00664561443871136 0.19624288265616 0.876401530141142 0.931940911322355 0.397341161386105 0.726495726495726 0.0149725948041531 0.633333333333333 0.376963213508482 0.79812886339589
"18" "PP-8" 0.462873029279279 0.618419258046918 0.0992239278176594 0.0274399464170085 0.136463789668024 0.632238490964253 0.596108358994957 0.651719134865202 0.495726495726496 0.0176462724477519 0.4 0.510999239623483 0.0273987859887509
"19" "PP-9" 0.337028434684685 0.293235133660666 0.372512773573304 0.698116369838911 0.378757638314343 0.69608231104076 0.688155487124559 0.447751121908425 0.547008547008547 0.0312820284301056 0.591666666666667 0.581058758750885 0.583913422806334
