"Sample" "Al2O3" "P2O5" "CaO" "Ti" "Mn" "Fe" "Cu" "Zn" "Sr" "Zr"
"1" "1" 0.129981006541 -0.491458120365534 -0.570275286440014 0.331957142335282 0.44765382821751 0.472808810823647 -0.324806275413786 0.210182884971639 -0.534833115954804 -0.587399124836968
"2" "10" 0.0622823061569995 -0.599568495003342 -0.514316871562106 -0.0563935948106807 -0.300293204283814 -0.101622753630961 -0.499505780810208 -0.599473997091446 -0.493268290510743 -0.0701679786741272
"3" "10w" 0.223843314957938 -0.64898689424523 -0.750910808514956 0.206365324212072 -0.232484819469134 -0.15792904984948 -0.774033575004585 -0.73006381677904 -0.563097197256766 -0.893654408749177
"4" "11" 0.376712288983163 -0.627267202726573 -0.48438195042974 -0.023693420967541 -0.423581176674143 -0.0794710565051317 -0.549419925209186 -0.756181780716559 -0.584710906487677 -1.28838344134713
"5" "11w" 0.675916627000861 -0.660456843698903 -0.708002938650687 0.420508055574228 -0.263306812566716 0.395229078598825 -0.67420528620663 -0.390530285591295 -0.61380628429852 -0.730318257329332
"6" "12" 1.3957366948279 -0.464247495597778 -0.2810049699331 0.92779482324701 0.527791010271223 0.960487693582825 -0.22497798661583 -0.338294357716257 -0.462510319682138 0.134002210600679
"7" "12w" 0.0420835340691405 -0.707312807424545 -0.673481215086749 0.263373591885511 -0.363991990018817 0.208403421561817 -0.699162358406119 -0.259940465903701 -0.547302563588022 0.127196537624852
"8" "13" 0.0834144511066799 -0.584803985600211 -0.622684389912539 0.323275680253033 0.0695707128871701 0.351559984044601 -0.524462853009697 0.027357137409007 -0.527351447374873 -0.158641727359876
"9" "13w" 2.07609259134104 -0.629707617503951 -0.599842343718219 1.62983572363159 1.52642358663288 2.15946049858946 -0.424634564211741 0.340772704659233 -0.548133860096904 0.0523341348907562
"10" "14" 0.43618564102236 -0.539168229263257 -0.414493566011837 0.904354875624936 0.135324298162012 0.743557197059833 -0.424634564211741 -0.259940465903701 -0.479967546368644 0.576370954029424
"11" "14w" -0.452356155529905 -0.66936435763633 -0.840387943166941 -0.405388370517113 -0.398923582196077 -0.521724322471034 -0.823947719403563 -0.73006381677904 -0.651214627198174 -1.17268700075808
"12" "14w_2" 0.0357395153989466 -0.646668500206722 -0.847015240414563 -0.36979437597989 -0.400978381735916 -0.492156198113649 -0.848904791603052 -0.860653636466635 -0.652045923707056 -1.61505574418682
"13" "15" 0.502192603094309 -0.617139481400458 -0.4658048257946 0.0252121487624649 0.0777899110465253 0.0300188297291451 -0.599334069608163 -0.703945852841521 -0.541483488025854 -0.369617589610509
"14" "15w" -0.0416866802793513 -0.672414876108051 -0.564081953582847 0.106528510266202 -0.177005231893486 0.0698821260987549 -0.574376997408675 -0.364412321653776 -0.544808674061379 0.222475959286428
"15" "16" 0.389210734960993 -0.562230148909472 -0.327628839511668 0.317198656795458 0.879161731583659 0.212892311728285 -0.549419925209186 -0.625591961028965 -0.560603307730122 -0.560176432933661
"16" "16w" -0.267256649869902 -0.737451929925153 -0.669017991918684 -0.263301774437629 -0.183169630513003 -0.252049366492046 -0.649248214007141 -0.390530285591295 -0.55894071471236 -0.451285665320431
"17" "17" 0.0990776144441242 -0.577604762006948 -0.550189345215542 0.271186907759536 0.669572178520101 0.205280715359057 -0.599334069608163 -0.155468610153625 -0.549796453114666 -0.825597678990908
"18" "17aw" -0.200334544874839 -0.69236526691311 -0.704518290813418 -0.0612407444732702 -0.0172445676710194 -0.111625171936677 -0.724119430605608 -0.338294357716257 -0.572033634727239 -0.250518312533539
"19" "17bw" 1.70853327514588 -0.561498024476259 -0.629047285014984 0.861236947283097 1.04765529385044 1.7619985497194 -0.474548708610719 0.053475101346526 -0.539820895008091 0.134002210600679
"20" "18" 1.55394339490667 -0.553566676449783 -0.653162485017065 0.818697783080074 0.505188215332996 1.23538342399455 -0.67420528620663 0.027357137409007 -0.542314784534735 0.671650375691001
"21" "19" 1.83908880419318 -0.54429310029575 -0.641525916692857 1.20878481264249 0.762038157812847 1.51501200599484 -0.499505780810208 0.00123917347148819 -0.557278121694597 0.617204991884385
"22" "1w" 0.0995297169240691 -0.651549329761476 -0.768137183060597 0.173665150368932 0.236009475614113 -0.0475609024956767 -0.749076502805097 -0.651709924966484 -0.633757400511669 -1.0774075790965
"23" "1w_2" -0.254058174245705 -0.687911509944396 -0.745872798074764 0.0443113653434139 -0.232484819469134 -0.189644034721262 -0.749076502805097 -0.416648249528814 -0.605493319209708 -0.805180660063428
"24" "2" -0.279740511896766 -0.548197763939553 -0.810820885888736 -0.572651206635121 -0.885911073137873 -0.732458198872924 -0.823947719403563 -0.73006381677904 -0.591361278558727 -0.873237389821696
"25" "2_2" 0.287035574493456 -0.688887675855347 -0.723027877944083 0.600214320676794 0.272995867331212 0.478175962109641 -0.798990647204074 -0.0509967544035496 -0.560603307730122 0.147613556552333
"26" "2w" -0.128373684821036 -0.710485346635135 -0.651958305681959 0.338902312001082 0.27505066687105 0.238654637901056 -0.699162358406119 -0.259940465903701 -0.547302563588022 0.0659454808424098
"27" "3" -0.210029226279463 -0.617749585094802 -0.520504456546551 -0.415806125015812 -0.0187856673258985 -0.34207113124349 -0.474548708610719 -0.651709924966484 -0.502412552108437 -0.77795796816012
"28" "3w" 0.632237693857802 -0.628853472331869 -0.83567181359914 0.0202926535825236 -0.148238038335743 -0.141534842284989 -0.923776008201519 -0.703945852841521 -0.612974987789639 -0.818792006015082
"29" "4" 0.0798997189238829 -0.406409665373939 -0.473274186395889 0.682109446319348 0.661352980360746 0.231482172091591 -0.499505780810208 0.00123917347148831 -0.534001819445923 -0.737123930305159
