ID;Name;Analysis Date;Batch;Initial Mass;Moisture Mass;550 Mass;950 Mass
;AY-1;05/10/2021 16.40;Batch #59;1.0604;1.0467;1.0216;0.9966
;AY-2;05/10/2021 16.40;Batch #59;1.0192;1.0018;0.9844;0.9057
;AY-4;05/10/2021 16.40;Batch #59;1.0975;1.0782;1.0574;1.0423
;AY-3;05/10/2021 16.40;Batch #59;1.0082;0.9969;0.9846;0.9504
;AY-5;05/10/2021 16.40;Batch #59;1.296;1.277;1.256;1.2108
;AY-7;05/10/2021 16.40;Batch #59;1.2044;1.1886;1.1707;1.1308
;AY-8;05/10/2021 16.40;Batch #59;1.3716;1.3542;1.3331;1.2843
;AY-9;05/10/2021 16.40;Batch #59;1.2244;1.2039;1.1807;1.1428
;AY-10;05/10/2021 16.40;Batch #59;1.334;1.3178;1.3023;1.2519
;AY-11;05/10/2021 16.40;Batch #59;1.3789;1.3611;1.3441;1.3258
;AY-12;05/10/2021 16.40;Batch #59;1.2778;1.2628;1.2467;1.2369
;AY-13;05/10/2021 16.40;Batch #59;1.524;1.5057;1.4864;1.4313
;AY-14;05/10/2021 16.40;Batch #59;1.3389;1.314;1.2881;1.259
;AY-15;05/10/2021 16.40;Batch #59;1.0571;1.0235;0.9964;0.9719
;AY-16;05/10/2021 16.40;Batch #59;1.0417;1.0304;1.0167;0.9815
;AY-17;05/10/2021 16.40;Batch #59;1.0015;0.987;0.9709;0.9264
;AY-18;05/10/2021 16.40;Batch #59;1.0163;1.001;0.984;0.9482
;AY-1 (2);05/10/2021 16.40;Batch #59;1.0583;1.0408;1.0206;0.9952
;kekkila;05/10/2021 16.40;Batch #59;1.1328;1.1027;0.7724;0.7664
;AY-19;05/11/2021 14.40;Batch #60;1.2916;1.2696;1.2458;1.2049
;AY-19 (2);05/11/2021 14.40;Batch #60;1.0676;1.0505;1.0304;1.013
;AY-20;05/11/2021 14.40;Batch #60;1.0242;1.0066;0.9877;0.9672
;AY-21;05/11/2021 14.40;Batch #60;1.0198;1.0048;0.9906;0.9724
;AY-22;05/11/2021 14.40;Batch #60;1.028;1.0097;0.9885;0.9686
;AY-23;05/11/2021 14.40;Batch #60;1.0383;1.0232;1.0053;0.9917
;AY-24;05/11/2021 14.40;Batch #60;1.0328;1.0168;0.9994;0.9852
;AY-25;05/11/2021 14.40;Batch #60;1.0452;1.0316;1.0116;0.9917
;AY-26;05/11/2021 14.40;Batch #60;1.0361;1.0221;1.0051;0.9659
;AY-27;05/11/2021 14.40;Batch #60;1.0327;1.0197;1.0024;0.9858
;AY-28;05/11/2021 14.40;Batch #60;1.3169;1.302;1.2856;1.2763
;AY-29;05/11/2021 14.40;Batch #60;1.0823;1.0669;1.0485;1.0066
;AY-30;05/11/2021 14.40;Batch #60;1.0735;1.0476;1.0205;0.9872
;AY-31;05/11/2021 14.40;Batch #60;1.0537;1.042;1.028;0.9967
;AY-32;05/11/2021 14.40;Batch #60;1.1039;1.0923;1.0777;1.0619
;AY-33;05/11/2021 14.40;Batch #60;1.0051;0.9936;0.981;0.9727
;AY-34;05/11/2021 14.40;Batch #60;1.1053;1.0869;1.0685;1.053
;AY-35;05/11/2021 14.40;Batch #60;1.0269;1.0088;0.9886;0.9649
;kekkila;05/11/2021 14.40;Batch #60;1.1307;1.1005;0.7572;0.7511
;AY-6;05/12/2021 17.42;Batch #61;1.0085;0.9942;0.9777;0.9651
;AY-36;05/12/2021 17.42;Batch #61;1.0484;1.0238;0.9982;0.9743
;AY-37;05/12/2021 17.42;Batch #61;1.1622;1.1507;1.1383;1.1292
;AY-38;05/12/2021 17.42;Batch #61;1.0945;1.0717;1.0485;1.0307
;AY-39;05/12/2021 17.42;Batch #61;1.0894;1.07;1.0495;1.02
;AY-40;05/12/2021 17.42;Batch #61;1.1549;1.1265;1.097;1.0696
;AY-42;05/12/2021 17.42;Batch #61;1.0545;1.0389;1.0217;1.0055
;AY-43;05/12/2021 17.42;Batch #61;1.0476;1.0286;0.9947;0.8749
;AY-44;05/12/2021 17.42;Batch #61;1.092;1.0677;1.0215;0.9331
;AY-45;05/12/2021 17.42;Batch #61;1.1159;1.0899;1.0213;0.9214
;AY-46;05/12/2021 17.42;Batch #61;1.0783;1.0548;1.0141;0.945
;AY-47;05/12/2021 17.42;Batch #61;1.0973;1.0809;1.0592;0.9755
;AY-48;05/12/2021 17.42;Batch #61;1.0361;1.0212;1.0024;0.8848
;AY-49;05/12/2021 17.42;Batch #61;1.2083;1.2073;1.2034;0.8457
;AY-50;05/12/2021 17.42;Batch #61;1.0576;1.046;1.0319;1.0159
;AY-51;05/12/2021 17.42;Batch #61;1.1269;1.1152;1.1009;1.0825
;AY-52;05/12/2021 17.42;Batch #61;1.1057;1.0923;1.076;1.0518
;kekkila;05/12/2021 17.42;Batch #61;1.0923;1.0619;0.7247;0.7186
;AY-42 (2);05/12/2021 17.42;Batch #61;1.5207;1.4971;1.4711;1.4469
;AY-53;5/17/2021 14:17;Batch #62;1.0381;1.0261;1.013;0.9577
;AY-53 (2);5/17/2021 14:17;Batch #62;1.1051;1.0903;1.0745;1.0242
;AY-54;5/17/2021 14:17;Batch #62;1.1362;1.1204;1.1019;1.0681
;AH-4;5/17/2021 14:17;Batch #62;1.1749;1.1578;1.1255;1.075
;AH-5;5/17/2021 14:17;Batch #62;1.0528;1.048;1.0364;0.9902
;RLZ-1;5/17/2021 14:17;Batch #62;1.0693;1.0442;1.017;0.9746
;TI-1;5/17/2021 14:17;Batch #62;1.1184;1.1141;1.093;0.6336
;TI-2;5/17/2021 14:17;Batch #62;1.005;1.0016;0.9845;0.5642
;TI-3;5/17/2021 14:17;Batch #62;1.1371;1.1152;1.0806;0.7462
;TI-4;5/17/2021 14:17;Batch #62;1.0183;1.0018;0.9518;0.6652
;TI-5;5/17/2021 14:17;Batch #62;1.1558;1.1313;1.0942;0.7857
;TI-6;5/17/2021 14:17;Batch #62;1.0235;1.0095;0.98;0.6468
;TI-7;5/17/2021 14:17;Batch #62;1.0511;1.0479;1.0264;0.6009
;TI-8;5/17/2021 14:17;Batch #62;1.0799;1.0642;1.033;0.7266
;TI-10;5/17/2021 14:17;Batch #62;1.123;1.1169;1.0944;0.6353
;AA-1;5/17/2021 14:17;Batch #62;1.0813;1.0462;0.9854;0.9301
;AA-2;5/17/2021 14:17;Batch #62;1.0184;0.9913;0.9442;0.863
;AA-3;5/17/2021 14:17;Batch #62;1.0672;1.0298;0.9878;0.9088
;kekkila;5/17/2021 14:17;Batch #62;1.5496;1.5141;1.1103;1.1017
;AA-4;5/17/2021 22:48;Batch #63;1.1005;1.046;1.0104;0.9388
;AA-4 (2);5/17/2021 22:48;Batch #63;1.1406;1.0834;1.0464;0.9714
;AA-5;5/17/2021 22:48;Batch #63;1.0086;0.9717;0.9445;0.8828
;AA-6;5/17/2021 22:48;Batch #63;1.3564;1.3276;1.2862;1.2335
;AA-7;5/17/2021 22:48;Batch #63;1.454;1.374;1.3136;1.2337
;AA-8;5/17/2021 22:48;Batch #63;1.0675;1.038;0.9997;0.9325
;AA-9;5/17/2021 22:48;Batch #63;1.01;0.9803;0.937;0.8764
;AA-10;5/17/2021 22:48;Batch #63;1.3901;1.3533;1.295;1.2153
;PP-1;5/17/2021 22:48;Batch #63;1.1239;1.1034;1.0446;0.8142
;PP-2;5/17/2021 22:48;Batch #63;1.3719;1.3453;1.2942;1.05
;PP-3;5/17/2021 22:48;Batch #63;1.1121;1.0915;1.0429;0.8179
;PP-4;5/17/2021 22:48;Batch #63;1.2507;1.2187;1.1634;0.9298
;PP-5;5/17/2021 22:48;Batch #63;1.0958;1.067;1.0173;0.7823
;PP-6;5/17/2021 22:48;Batch #63;1.0972;1.067;1.0148;0.8433
;PP-7;5/17/2021 22:48;Batch #63;1.42;1.3801;1.3166;1.0733
;PP-8;5/17/2021 22:48;Batch #63;1.0063;0.9789;0.9346;0.7384
;PP-9;5/17/2021 22:48;Batch #63;1.1103;1.0775;1.0194;0.8295
;PP-10;5/17/2021 22:48;Batch #63;1.0579;1.042;1.0174;0.8623
;kekkila;5/17/2021 22:48;Batch #63;1.0194;0.9942;0.7108;0.7052
;PP-11;5/18/2021 15:27;Batch #64;1.2066;1.1647;1.1324;0.8547
;PP-11 (2);5/18/2021 15:27;Batch #64;1.0125;0.9732;0.9424;0.7477
;PP-12;5/18/2021 15:27;Batch #64;1.1283;1.1046;1.0744;0.8439
;PP-13;5/18/2021 15:27;Batch #64;1.5288;1.4957;1.4473;1.1384
;PP-14;5/18/2021 15:27;Batch #64;1.123;1.0992;1.064;0.8247
;PP-15;5/18/2021 15:27;Batch #64;1.1277;1.1029;1.0642;0.8202
;PP-16;5/18/2021 15:27;Batch #64;1.4566;1.4352;1.4034;1.1261
;PP-17;5/18/2021 15:27;Batch #64;1.0505;1.0226;0.9825;0.7647
;PP-18;5/18/2021 15:27;Batch #64;1.0209;1.0017;0.9693;0.6683
;PP-19;5/18/2021 15:27;Batch #64;1.0767;1.0615;1.0381;0.6873
;PP-10;5/18/2021 15:27;Batch #64;1.3493;1.3294;1.2998;1.1107
;PP-9;5/18/2021 15:27;Batch #64;1.1054;1.0725;1.0161;0.8229
;PP-8;5/18/2021 15:27;Batch #64;1.013;0.9855;0.9414;0.7295
;PP-7;5/18/2021 15:27;Batch #64;1.121;1.0865;1.035;0.8383
;PP-6;5/18/2021 15:27;Batch #64;1.0943;1.0652;1.016;0.8303
;PP-5;5/18/2021 15:27;Batch #64;1.215;1.1811;1.1206;0.8674
;PP-4;5/18/2021 15:27;Batch #64;1.5866;1.5461;1.4756;1.1755
;PP-3;5/18/2021 15:27;Batch #64;1.3014;1.2782;1.2232;0.9742
;kekkila;5/18/2021 15:27;Batch #64;1.0491;1.0207;0.7002;0.6945
