	Data Name	L*(D65)	a*(D65)	b*(D65)
     1 	AA-1	59,75	4,56	16,46
     1 	AA-1	59,66	4,55	16,46
     2 	AA-2	59,72	3,88	16,67
     2 	AA-2	59,64	3,87	16,67
     3 	AY-3	58,59	4,31	17,34
     3 	AY-3	58,51	4,30	17,33
     4 	AA-4	58,99	4,73	18,08
     4 	AA-4	58,91	4,73	18,07
     5 	AA-5	56,86	8,67	21,47
     5 	AA-5	56,78	8,65	21,43
     6 	AA-6	51,37	6,55	17,28
     6 	AA-6	51,30	6,53	17,23
     7 	AA-7	58,25	4,39	16,20
     7 	AA-7	58,17	4,38	16,19
     8 	AA-8	61,57	4,59	17,19
     8 	AA-8	61,48	4,58	17,19
     9 	AA-9	57,55	4,55	16,58
     9 	AA-9	57,47	4,54	16,57
    10 	AA-10	59,16	4,44	15,92
    10 	AA-10	59,08	4,43	15,92
