	Data Name	L*(D65)	a*(D65)	b*(D65)
Mean	------	44,28	9,94	20,36
Mean	------	44,24	9,90	20,21
Std.Dev.	------	4,5072	2,0328	3,3271
Std.Dev.	------	4,4913	2,0323	3,3163
     1 	AY-1	44,13	9,40	19,71
     1 	AY-1	44,10	9,36	19,58
     2 	AY-2	44,19	10,55	20,45
     2 	AY-2	44,16	10,51	20,31
     3 	AY-3	46,46	11,89	23,64
     3 	AY-3	46,42	11,85	23,48
     4 	AY-4	37,56	7,97	16,81
     4 	AY-4	37,55	7,91	16,63
     5 	AY-5	48,05	10,27	21,51
     5 	AY-5	47,99	10,23	21,39
     6 	AY-6	40,94	9,55	19,47
     6 	AY-6	40,91	9,50	19,29
     7 	AY-7	45,81	10,53	21,66
     7 	AY-7	45,76	10,49	21,51
     8 	AY-9	43,44	8,63	19,08
     8 	AY-9	43,37	8,59	18,93
     9 	AY-8	46,10	9,97	21,18
     9 	AY-8	46,04	9,94	21,05
    10 	AY-10	48,24	13,07	24,67
    10 	AY-10	48,21	13,04	24,53
    11 	AY-11	47,01	10,38	23,83
    11 	AY-11	46,98	10,35	23,68
    12 	AY-12	43,94	11,33	23,48
    12 	AY-12	43,90	11,28	23,31
    13 	AY-13	47,65	10,66	22,86
    13 	AY-13	47,60	10,63	22,74
    14 	AY-14	42,05	11,44	21,72
    14 	AY-14	42,03	11,39	21,54
    15 	AY-15	41,60	9,65	19,25
    15 	AY-15	41,57	9,60	19,08
    16 	AY-16	46,00	10,92	22,19
    16 	AY-16	45,96	10,89	22,05
    17 	AY-17	46,60	8,94	19,88
    17 	AY-17	46,54	8,90	19,76
    18 	AY-18	42,80	11,71	21,74
    18 	AY-18	42,76	11,66	21,56
    19 	AY-19	44,32	9,80	20,53
    19 	AY-19	44,28	9,76	20,38
    20 	AY-20	42,95	9,08	19,79
    20 	AY-20	42,92	9,04	19,64
    21 	AY-21	42,92	9,20	19,80
    21 	AY-21	42,88	9,16	19,65
    22 	AY-22	43,85	11,84	22,92
    22 	AY-22	43,81	11,80	22,75
    23 	AY-23	41,72	10,62	20,61
    23 	AY-23	41,71	10,57	20,43
    24 	AY-24	43,47	10,48	21,37
    24 	AY-24	43,43	10,43	21,21
    25 	AY-25	42,01	9,23	19,21
    25 	AY-25	41,97	9,18	19,05
    26 	AY-26	47,69	10,62	22,14
    26 	AY-26	47,62	10,59	22,02
    27 	AY-27	42,65	9,59	19,52
    27 	AY-27	42,61	9,54	19,36
    28 	AY-28	40,19	10,77	21,02
    28 	AY-28	40,19	10,71	20,85
    29 	AY-29	47,41	10,25	21,82
    29 	AY-29	47,34	10,21	21,70
    30 	AY-30	41,39	9,88	19,54
    30 	AY-30	41,37	9,83	19,38
    31 	AY-31	45,80	13,53	25,03
    31 	AY-31	45,79	13,49	24,89
    32 	AY-32	46,97	9,93	23,03
    32 	AY-32	46,93	9,89	22,89
    33 	AY-33	45,39	11,36	23,65
    33 	AY-33	45,35	11,32	23,48
    34 	AY-34	42,25	11,66	22,30
    34 	AY-34	42,22	11,61	22,11
    35 	AY-35	43,09	11,35	21,59
    35 	AY-35	43,06	11,30	21,43
    36 	AY-36	41,32	9,71	19,26
    36 	AY-36	41,29	9,66	19,10
    37 	AY-37	43,76	12,78	24,49
    37 	AY-37	43,73	12,73	24,31
    38 	AY-38	42,15	10,45	20,54
    38 	AY-38	42,12	10,40	20,38
    39 	AY-39	43,64	12,05	22,39
    39 	AY-39	43,60	11,99	22,21
    40 	AY-40	40,14	9,73	19,22
    40 	AY-40	40,11	9,67	19,05
    41 	AY-41	41,25	10,18	19,73
    41 	AY-41	41,22	10,13	19,56
    42 	AY-42	45,01	9,50	20,18
    42 	AY-42	44,98	9,46	20,06
    43 	AY-43	49,98	5,21	13,40
    43 	AY-43	49,91	5,19	13,35
    44 	AY-44	42,69	5,54	12,70
    44 	AY-44	42,65	5,50	12,61
    45 	AY-45	34,56	2,48	6,98
    45 	AY-45	34,55	2,42	6,86
    46 	AY-46	35,17	7,41	12,77
    46 	AY-46	35,16	7,33	12,60
    47 	AY-47	45,30	5,22	13,28
    47 	AY-47	45,26	5,19	13,20
    48 	AY-48	51,93	11,68	23,75
    48 	AY-48	51,87	11,65	23,66
    49 	AY-49	67,20	5,94	19,02
    49 	AY-49	67,08	5,94	19,05
    50 	AY-50	42,14	10,08	20,67
    50 	AY-50	42,11	10,03	20,52
    51 	AY-51	43,62	10,17	20,55
    51 	AY-51	43,59	10,13	20,41
    52 	AY-52	46,68	10,97	22,68
    52 	AY-52	46,64	10,93	22,55
    53 	AY-53	42,12	11,25	19,15
    53 	AY-53	42,09	11,20	19,00
    54 	AY-54	45,82	10,31	21,55
    54 	AY-54	45,77	10,27	21,42
