	Data Name	L	a	b
     1 	AY-1	44,13	9,40	19,71
     2 	AY-2	44,19	10,55	20,45
     3 	AY-3	46,46	11,89	23,64
     4 	AY-4	37,56	7,97	16,81
     5 	AY-5	48,05	10,27	21,51
     6 	AY-6	40,94	9,55	19,47
     7 	AY-7	45,81	10,53	21,66
     8 	AY-9	43,44	8,63	19,08
     9 	AY-8	46,10	9,97	21,18
    10 	AY-10	48,24	13,07	24,67
    11 	AY-11	47,01	10,38	23,83
    12 	AY-12	43,94	11,33	23,48
    13 	AY-13	47,65	10,66	22,86
    14 	AY-14	42,05	11,44	21,72
    15 	AY-15	41,60	9,65	19,25
    16 	AY-16	46,00	10,92	22,19
    17 	AY-17	46,60	8,94	19,88
    18 	AY-18	42,80	11,71	21,74
    19 	AY-19	44,32	9,80	20,53
    20 	AY-20	42,95	9,08	19,79
    21 	AY-21	42,92	9,20	19,80
    22 	AY-22	43,85	11,84	22,92
    23 	AY-23	41,72	10,62	20,61
    24 	AY-24	43,47	10,48	21,37
    25 	AY-25	42,01	9,23	19,21
    26 	AY-26	47,69	10,62	22,14
    27 	AY-27	42,65	9,59	19,52
    28 	AY-28	40,19	10,77	21,02
    29 	AY-29	47,41	10,25	21,82
    30 	AY-30	41,39	9,88	19,54
    31 	AY-31	45,80	13,53	25,03
    32 	AY-32	46,97	9,93	23,03
    33 	AY-33	45,39	11,36	23,65
    34 	AY-34	42,25	11,66	22,30
    35 	AY-35	43,09	11,35	21,59
    36 	AY-36	41,32	9,71	19,26
    37 	AY-37	43,76	12,78	24,49
    38 	AY-38	42,15	10,45	20,54
    39 	AY-39	43,64	12,05	22,39
    40 	AY-40	40,14	9,73	19,22
    41 	AY-41	41,25	10,18	19,73
    42 	AY-42	45,01	9,50	20,18
    50 	AY-50	42,14	10,08	20,67
    51 	AY-51	43,62	10,17	20,55
    52 	AY-52	46,68	10,97	22,68
    53 	AY-53	42,12	11,25	19,15
    54 	AY-54	45,82	10,31	21,55
