	Data Name	L*(D65)	a*(D65)	b*(D65)
     1 	AH-4	52,43	15,78	25,84
     1 	AH-4	52,35	15,75	25,75
     2 	AY-5	50,97	19,53	24,60
     2 	AY-5	50,90	19,48	24,50
     3 	RLZ-1	43,75	7,36	17,61
     3 	RLZ-1	43,71	7,32	17,49
     4 	TI-1	74,57	3,16	13,85
     4 	TI-1	74,46	3,17	13,91
     5 	TI-2	72,86	4,05	17,96
     5 	TI-2	72,74	4,05	18,00
     6 	TI-3	61,56	4,43	14,73
     6 	TI-3	61,48	4,42	14,75
     7 	TI-4	64,79	4,85	16,15
     7 	TI-4	64,70	4,84	16,18
     8 	TI-5	57,29	5,92	17,00
     8 	TI-5	57,21	5,91	16,99
     9 	TI-6	69,84	3,20	15,41
     9 	TI-6	69,74	3,20	15,45
    10 	TI-7	75,34	3,32	13,93
    10 	TI-7	75,22	3,32	13,99
    11 	TI-8	63,81	4,27	14,64
    11 	TI-8	63,72	4,26	14,66
    12 	TI-10	71,06	3,92	15,54
    12 	TI-10	70,95	3,92	15,58
