	Data Name	L*(D65)	a*(D65)	b*(D65)
     1 	PP-9	62,38	8,32	21,72
     1 	PP-9	62,28	8,32	21,72
     2 	PP-10	63,33	7,36	20,20
     2 	PP-10	63,24	7,35	20,20
     3 	PP-11	64,67	9,36	21,46
     3 	PP-11	64,57	9,35	21,46
     4 	PP-12	64,17	10,85	23,90
     4 	PP-12	64,09	10,84	23,89
     5 	PP-13	64,19	7,27	19,90
     5 	PP-13	64,09	7,27	19,90
     6 	PP-14	63,41	10,90	23,26
     6 	PP-14	63,31	10,88	23,25
     7 	PP-15	63,52	10,85	22,66
     7 	PP-15	63,42	10,84	22,65
     8 	PP-16	65,68	8,99	21,93
     8 	PP-16	65,59	8,98	21,94
     9 	PP-17	65,87	10,27	23,33
     9 	PP-17	65,78	10,26	23,32
    10 	PP-18	72,00	9,34	21,55
    10 	PP-18	71,89	9,33	21,58
    11 	PP-19	71,27	8,68	21,25
    11 	PP-19	71,17	8,67	21,28
